PPI,Porosity,Re,Dh,f,Nu
10,0.9,500,0.005217,4.51111,61.1245
30,0.95,1300,0.003,7.12227,75.0635
40,0.95,1300,0.005,19.1863,87.2647
40,0.9,1500,0.00375,12.6288,106.481
40,0.85,300,0.0042,40.8082,65.9463
40,0.95,100,0.003,38.4952,28.2063
20,0.95,1700,0.003,4.33764,89.917
5,0.95,300,0.004615,1.99066,33.3086
40,0.95,1500,0.005455,20.5243,96.7128
50,0.98,1300,0.00375,15.9094,60.8484
40,0.95,1700,0.005217,18.657,101.625
10,0.9,100,0.0042,7.6577,32.6883
30,0.85,1500,0.00375,8.42814,122.495
5,0.9,100,0.00375,2.45789,28.7838
20,0.9,1100,0.005217,8.64084,97.7415
30,0.8,1300,0.005357,15.1864,142.964
40,0.95,1100,0.005,20.3538,80.2105
20,0.85,900,0.005,8.74015,101.838
20,0.9,1100,0.005,8.18744,96.576
20,0.8,300,0.005,18.4669,72.5642
40,0.95,500,0.005217,31.4628,55.1451
50,0.95,1700,0.004615,21.2632,97.2465
40,0.85,300,0.005357,63.1922,65.7429
30,0.8,500,0.00375,15.628,91.6522
50,0.95,1700,0.005,23.6077,100.049
50,0.85,900,0.005357,40.4637,109.81
20,0.95,1500,0.005217,8.19942,94.4902
5,0.9,1300,0.005455,1.72891,94.3726
30,0.9,1100,0.0042,11.1296,94.52
30,0.95,1100,0.005,13.8684,79.6467
30,0.85,1300,0.005357,14.6609,127.222
5,0.95,300,0.00375,1.66118,32.8929
5,0.95,900,0.005,1.79582,65.0338
40,0.9,1500,0.005217,19.7031,118.451
10,0.9,1100,0.00375,2.57602,85.4441
10,0.85,1700,0.00375,2.1697,120.892
5,0.95,1100,0.00375,1.3548,77.4361
30,0.9,1700,0.005357,13.2469,125.597
30,0.9,900,0.0042,12.0102,86.2337
40,0.9,500,0.004615,28.9684,68.7596
20,0.95,1100,0.005357,9.04068,79.9702
20,0.9,1500,0.005357,8.17865,115.113
40,0.9,700,0.005217,28.6584,82.4195
20,0.95,100,0.005217,29.5801,25.0449
50,0.9,300,0.005357,79.6386,56.221
40,0.95,1300,0.005,19.1863,87.2647
10,0.95,1300,0.0042,3.03893,83.2001
20,0.85,1100,0.005217,8.51143,112.868
20,0.85,1500,0.0042,5.75674,123.057
10,0.8,700,0.005357,4.03543,94.485
50,0.85,900,0.00375,22.6421,101.231
10,0.95,1500,0.005357,3.84545,94.4495
30,0.8,1300,0.005357,15.1864,142.964
10,0.9,900,0.00375,2.67084,76.5731
40,0.95,500,0.005,29.4572,54.5321
20,0.8,700,0.004615,9.1349,102.183
40,0.85,100,0.005455,174.719,40.0713
40,0.85,900,0.005455,28.8182,109.374
5,0.85,1100,0.005,1.45293,91.0148
40,0.8,100,0.0042,127.142,55.6641
10,0.95,1300,0.004615,3.34953,84.0048
10,0.95,500,0.005357,4.67798,49.0262
10,0.95,1100,0.005,3.7191,75.9791
20,0.85,1300,0.005,7.54401,120.656
20,0.95,1500,0.005,7.80727,93.4158
10,0.95,700,0.005357,4.32326,58.7374
10,0.95,1500,0.005,3.5804,93.6176
50,0.9,1300,0.005357,30.0947,112.308
30,0.9,700,0.005455,19.6368,82.0912
20,0.9,700,0.005217,10.1847,78.5734
30,0.98,900,0.00375,9.19301,50.8599
20,0.98,1500,0.0042,5.70336,72.8291
30,0.95,300,0.004615,22.3222,41.584
40,0.85,1300,0.004615,18.0311,123.79
10,0.85,700,0.005455,4.15102,83.7616
40,0.85,900,0.005,25.0564,107.098
20,0.85,500,0.0042,9.10746,76.7516
40,0.95,1300,0.003,10.038,74.3494
20,0.98,1500,0.003,3.91733,69.2989
10,0.85,1100,0.005217,3.42459,102.901
10,0.9,1500,0.005217,3.48932,108.352
10,0.85,500,0.0042,3.4074,69.2713
30,0.85,700,0.005455,21.1474,95.817
5,0.9,1100,0.005357,1.7302,84.262
40,0.98,1500,0.004615,14.8733,71.143
